wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1624.0,0.04480571428571429,0.044945179670447574,0.00011711983042743851,0.00033485360632302285,0.0370607504050232,0.007432449599718257,6.2289556598600895e-09,2.520624147242586e-28,6.144972446891486e-57
1623.0,0.04603285714285714,0.04552220626741784,0.0001622228862952762,0.0003227010070195677,0.03838874262874291,0.006648536386376403,3.3589836796264152e-09,2.674041180631376e-29,1.5422848611972166e-58
1622.0,0.04696,0.04584888305707588,0.00022160181648163069,0.00030341884730898726,0.0394130866609537,0.005910773945926037,1.786405514243127e-09,2.7204757473950144e-30,3.662075229589019e-60
1621.0,0.046887142857142856,0.04590683688323894,0.00029854789295074685,0.00027834388266091307,0.040107342851453925,0.0052226013191903585,9.369829972446876e-10,2.6542290288888186e-31,8.226364300761475e-62
1620.0,0.046014285714285716,0.04568533095404637,0.0003966744309854551,0.00024912522343859835,0.04045332414871772,0.004586206666215927,4.846886748666474e-10,2.4834115659379733e-32,1.7482624306527995e-63
1619.0,0.04474142857142857,0.04518185310193881,0.000519797165617038,0.00021754575579509088,0.040441887807187465,0.004002622126068013,2.4727120023362335e-10,2.2283108392062382e-33,3.514983753135734e-65
1618.0,0.043468571428571426,0.044402280875392504,0.0006717584052997511,0.0001853448067495467,0.04007333687385314,0.0034718406650776574,1.2441241034667232e-10,1.917430427671354e-34,6.685871562409806e-67
1617.0,0.04239571428571429,0.043360614512824865,0.0008561932782125011,0.00015406611178001416,0.03935740684379209,0.0029929482173049918,6.173527313787086e-11,1.5822686583383358e-35,1.2031249889073647e-68
1616.0,0.04162285714285714,0.04207829359003081,0.0010762422107946066,0.00012494840483896874,0.03831283830491116,0.002564264639273857,3.0212213591450516e-11,1.2521535959011319e-36,2.0482429811094943e-70
1615.0,0.04065,0.04058313710038889,0.00133422087490095,9.886696517251354e-05,0.036966561758067715,0.0021834874876659133,1.458180282366014e-11,9.502803590545605e-38,3.298908073324267e-72
1614.0,0.03907714285714285,0.038907969348364865,0.001631266598522713,7.63253112123205e-05,0.03535254410772172,0.0018478333239671557,6.940957720050242e-12,6.916122385990138e-39,5.026630505566417e-74
1613.0,0.03720428571428572,0.03708901438386472,0.001966987766418787,5.7488748943272684e-05,0.03351036577486416,0.001554172090380088,3.2584201228468988e-12,4.827145118709025e-40,7.246056594003306e-76
1612.0,0.03513142857142857,0.035164158349367834,0.00233914894612152,4.2246820071870195e-05,0.03148361155814993,0.0012991510235159196,1.5086005506249806e-12,3.230984014258118e-41,9.88199184524133e-78
1611.0,0.033158571428571426,0.03317119022794334,0.002743428189442714,3.0290196156188748e-05,0.029318166323953367,0.001079305517702222,6.888441067282728e-13,2.073939255559416e-42,1.2749855742153408e-79
1610.0,0.03118571428571429,0.031146135177502608,0.0031732831063426507,2.118883308819173e-05,0.027060507970957746,0.0008911552668038157,3.1020381538759266e-13,1.2766563901950595e-43,1.556266830258048e-81
1609.0,0.02931285714285714,0.0291217894222614,0.0036199581115536365,1.446135167019991e-05,0.02475608509857232,0.0007312848603274731,1.3776941861023846e-13,7.536484034303972e-45,1.797135659187642e-83
1608.0,0.02734,0.027126550910447984,0.004072656417476864,9.629586269426344e-06,0.022447856151744945,0.0005964087548964056,6.034454524099219e-14,4.266584115694872e-46,1.9633407130937948e-85
1607.0,0.025467142857142855,0.025183616183308447,0.00451888723223651,6.256093956937652e-06,0.02017505169172576,0.0004834211653631715,2.6067700011131288e-14,2.3163736158221595e-47,2.0292170077348456e-87
1606.0,0.023594285714285713,0.023310582963468014,0.004944982248975455,3.965480240582067e-06,0.017972203323672636,0.00038943191056823505,1.1105724935111239e-14,1.206017682950347e-48,1.9841720387179936e-89
1605.0,0.02172142857142857,0.021519462823542734,0.005336757544662993,2.4523655757302853e-06,0.015868463307425335,0.00031178960587401224,4.6662780500550405e-15,6.021650015942265e-50,1.835473704460924e-91
1604.0,0.019948571428571427,0.01981707266282636,0.005680279568775949,1.4796926809955118e-06,0.013887219576825855,0.0002480938245416307,1.9336319659513346e-15,2.8833284265421824e-51,1.6063309205698802e-93
1603.0,0.018275714285714284,0.018205741565005075,0.005962679305578519,8.710733630936322e-07,0.012045993221025944,0.00019619796503672553,7.902354769197485e-16,1.3240045747862897e-52,1.3299639887693984e-95
1602.0,0.016702857142857144,0.016684244563036448,0.006172949094966457,5.003049901776919e-07,0.010356590585353133,0.00015420457772636213,3.1850681676796114e-16,5.830443973091718e-54,1.0417481903056097e-97
1601.0,0.015130000000000001,0.015248859667127912,0.0063026536460883565,2.803572744586747e-07,0.00882547082306817,0.00012045484069680161,1.2660779431953344e-16,2.4622408700931258e-55,7.719757141165183e-100
1600.0,0.013757142857142857,0.013894440730697084,0.006346491320092349,1.5328007958936513e-07,0.0074542823807065535,9.351374981854186e-05,4.963427203310745e-17,9.971860946221432e-57,5.4120591125363484e-102
1599.0,0.012484285714285713,0.012615406390954256,0.0063026536460883955,8.176293987497128e-08,0.0062405185605712505,7.215242135471614e-05,1.919032690680509e-17,3.8729211977724994e-58,3.589545274319653e-104
1598.0,0.01131142857142857,0.011406563036160436,0.006172949094966534,4.2552411127796657e-08,0.005178242675374013,5.53287134087545e-05,7.317497655260028e-18,1.4425068224247542e-59,2.252342074299003e-106
1597.0,0.010138571428571427,0.010263704916094499,0.005962679305578632,2.1606714900764212e-08,0.0042588368336766505,4.216717012431148e-05,2.7518345148186616e-18,5.152450876173028e-61,1.3370488482211963e-108
1596.0,0.009065714285714286,0.009183963704470718,0.005680279568776092,1.0704101116223446e-08,0.0034717343396822044,3.193909191130293e-05,1.0206140381742092e-18,1.7649264535369169e-62,7.508932652260938e-111
1595.0,0.008092857142857143,0.008165909308007343,0.005336757544663161,5.173787150851464e-09,0.002805103244148055,2.4043345408974548e-05,3.7331914654447048e-19,5.7977052695595815e-64,3.989579782734547e-113
1594.0,0.007120000000000001,0.0072094299783372505,0.004944982248975643,2.4398538152689455e-09,0.002246456934482409,1.7988355025383405e-05,1.3467236707786607e-19,1.8264274425868023e-65,2.005368136135e-115
